"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Giorno B","16 giu 2026, 18:45","16 giu 2026, 19:49","","Lento in Avanti (Manubrio)",,"",3,"normal",10,5,,0,
"Giorno B","16 giu 2026, 18:45","16 giu 2026, 19:49","","Rematore al Cavo da Seduto - Presa Larga",,"",0,"normal",20,13,,0,
"Giorno B","16 giu 2026, 18:45","16 giu 2026, 19:49","","Rematore al Cavo da Seduto - Presa Larga",,"",1,"normal",20,13,,0,
"Giorno B","16 giu 2026, 18:45","16 giu 2026, 19:49","","Rematore al Cavo da Seduto - Presa Larga",,"",2,"normal",20,10,,0,
"Giorno B","16 giu 2026, 18:45","16 giu 2026, 19:49","","Curl Bicipiti con EZ Bar",,"",0,"normal",2.5,10,,0,
"Giorno B","16 giu 2026, 18:45","16 giu 2026, 19:49","","Curl Bicipiti con EZ Bar",,"",1,"normal",2.5,10,,0,
"Giorno B","16 giu 2026, 18:45","16 giu 2026, 19:49","","Curl Bicipiti con EZ Bar",,"",2,"normal",2.5,10,,0,
"Giorno B","16 giu 2026, 18:45","16 giu 2026, 19:49","","Pushdown Tricipiti con Corda",,"",0,"normal",10,9,,0,
"Giorno B","16 giu 2026, 18:45","16 giu 2026, 19:49","","Pushdown Tricipiti con Corda",,"",1,"normal",10,9,,0,
"Giorno B","16 giu 2026, 18:45","16 giu 2026, 19:49","","Pushdown Tricipiti con Corda",,"",2,"normal",10,9,,0,
"Giorno B","16 giu 2026, 18:45","16 giu 2026, 19:49","","Pushdown Tricipiti con Corda",,"",3,"normal",10,9,,0,
"Giorno B","16 giu 2026, 18:45","16 giu 2026, 19:49","","Crunch (Con Peso Aggiunto)",,"",0,"normal",5,13,,0,
"Giorno B","16 giu 2026, 18:45","16 giu 2026, 19:49","","Crunch (Con Peso Aggiunto)",,"",1,"normal",5,13,,0,
"Giorno B","16 giu 2026, 18:45","16 giu 2026, 19:49","","Crunch (Con Peso Aggiunto)",,"",2,"normal",5,13,,0,
"Giorno A","15 giu 2026, 18:46","15 giu 2026, 20:02","","Ponte Glutei",,"",0,"normal",,20,,0,
"Giorno A","15 giu 2026, 18:46","15 giu 2026, 20:02","","Plank",,"",0,"normal",,0,,55,
"Giorno A","15 giu 2026, 18:46","15 giu 2026, 20:02","","Hip Thrust (macchina)",,"",0,"normal",40,7,,0,
"Giorno A","15 giu 2026, 18:46","15 giu 2026, 20:02","","Hip Thrust (macchina)",,"",1,"normal",40,7,,0,
"Giorno A","15 giu 2026, 18:46","15 giu 2026, 20:02","","Hip Thrust (macchina)",,"",2,"normal",40,6,,0,
"Giorno A","15 giu 2026, 18:46","15 giu 2026, 20:02","","Hip Thrust (macchina)",,"",3,"normal",40,7,,0,
"Giorno A","15 giu 2026, 18:46","15 giu 2026, 20:02","","Rematore al Cavo da Seduto",,"",0,"normal",25,8,,0,
